분야,사업내용,사업기간,직접수행,지자체보조,민간보조,출연,위탁,융자,지방비매칭,시행주체,지방비매칭여부,사업비,단위사업명,경비내역1,경비내역1사업비,경비내역2,경비내역2사업비,경비내역3,경비내역3사업비,경비내역4,경비내역4사업비,경비내역5,경비내역5사업비,경비내역6,경비내역6사업비,경비내역7,경비내역7사업비,경비내역8,경비내역8사업비,출처파일,매칭패턴,주요부처,사업비규모,사업유형,지역관련성,민간참여도,성과계획서매칭,해당_성과계획서_파일,PDF_매칭여부,PDF_사업명,PDF_예산_억원,PDF_예산_백만원,예산_검증상태,예산_오차율,PDF_출처페이지,예산_숫자,경북관련도점수,경북관련성_최종
,"반도체, 센서 등 전자분야 기술개발 지원",계속사업,N,N,N,Y,N,N,N,한국산업기술기획평가원 등,,"390,422,000천원",모빌리티실제환경모사전자파장애평가시스템구축,전자시스템산업기술개발(R&D),"2,600,000천원",PIM인공지능반도체핵심기술개발(R&D),"7,800,000천원",시장선도를 위한 한국 주도형 K-Sensor 기술개발(R&D),"27,406,000천원",인체밀착형웨어러블기기용전고체리튬고분자배터리개발(R&,"6,500,000천원",산업현장맞춤형온디바이스AI반도체기술개발(R&D),"8,400,000천원",리튬기반배터리제조소및저장취급시설안전을위한기술개발(,"1,000,000천원",시스템산업기술,"3,669,000천원",K-온디바이스AI반도체기술개발(R&D),"185,060,000천원",2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,390422000,286.0,B급_간접관련
,AI 응용제품 상용화를 위한 기술개발,계속사업,N,N,N,Y,N,Y,N,"민간, 한국환경산업기술원 등",,"7,147,611,000천원",토지매각대,AI응용제품 신속 상용화 지원사업(환경),"50,000,000천원",환경교육 및 홍,"7,498,000천원",,,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,민간주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,7147611000,286.0,B급_간접관련
,도로분야연구개발(RD),계속사업,N,N,N,Y,N,N,N,국토교통과학기술진흥원,,"6,538,882,000천원",내연기관차전기차전환안전성검증기술개발및튜닝승인실증(,AI데이터중심의화물차운송안전향상기술개발(R&D),"1,602,000천원",교통사고유발도로노면위험요소저감기술개발(R&D),"5,199,000천원",초장대K지하고속도로인프라안전및효율향상기술개발(R&D),"6,495,000천원",내연기관차전기차전환안전성검증기술개발및튜닝승인실증(,"8,900,000천원",과적단속효율화를위한화물차중량정보플랫폼구축및실증기,"4,000,000천원",디지털도로기반클라우드형AI-ITS센터플랫폼운영관리기술개,"1,275,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,출연,국토교통부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[26]2026년도 성과계획서_국토교통부.pdf,No,,0.0,0,,0.0,0,6538882000,273.0,B급_간접관련
,첨단산업 RD 및 선도적 기초원천연구 지원을 위한 세계 최고 수준의 방사광가속기 1기 구축,2021년-2029년,N,N,Y,Y,N,N,N,한국연구재단 등,,"193,673,000천원",혁신원자력연구,다목적방사광가속기구축(R&D),"118,800,000천원",혁신원자력연구,"18,858,000천원",1400 원자력 진흥,"193,673,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,민간보조,과학기술정보통신부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[12]2026년도 성과계획서_과학기술정보통신부.pdf,No,,0.0,0,,0.0,0,193673000,234.0,B급_간접관련
,해양분야 신기술개발 및 중소기업 육성,계속사업,N,N,N,Y,N,N,N,"한국해양과학기술원, 극지연구소, 선박해양플랜트연구소",,"3,237,197,000천원",기본경비,한국해양과학기술원운영지원(R&D),"82,314,000천원",극지연구소 운영지원(R&D),"80,306,000천원",선박해양플랜트연구소 운영지원(R&D),"61,029,000천원",한국해양과학기술원 시설 지원(R&D),"13,325,000천원",극지연구소 시설 지원(R&D),"3,612,000천원",선박해양플랜트연구소 시설 지원(R&D),"5,315,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,출연,해양수산부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[27]2026년도 성과계획서_해양수산부.pdf,No,,0.0,0,,0.0,0,3237197000,234.0,B급_간접관련
,융복합산업 기술개발 및 지원,계속사업,N,N,N,Y,N,N,N,한국산업기술진흥원 등,,"365,095,000천원",미래차 전장부품 시스템반도체 신뢰성검증센터 구축,민군기술협력(R&D)(산업부),"18,973,000천원",우수기술역량강,"365,095,000천원",,,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,365095000,234.0,B급_간접관련
,"반도체, 센서 등 전자분야 기술개발 지원",계속사업,N,N,N,Y,N,N,N,한국산업기술기획평가원 등,,"148,959,000천원",리튬기반배터리제조소및저장취급시설안전을위한기술개발(,전자시스템산업기술개발(R&D),"2,600,000천원",PIM인공지능반도체핵심기술개발(R&D),"7,800,000천원",시장선도를 위한 한국 주도형 K-Sensor 기술개발(R&D),"27,406,000천원",인체밀착형웨어러블기기용전고체리튬고분자배터리개발(R&,"6,500,000천원",산업현장맞춤형온디바이스AI반도체기술개발(R&D),"8,400,000천원",리튬기반배터리제조소및저장취급시설안전을위한기술개발(,"1,000,000천원",시스템산업기술,"3,669,000천원",K-온디바이스AI반도체기술개발(R&D),"185,060,000천원",2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,148959000,234.0,B급_간접관련
,국가필수전략기술 등 미래전략산업분야 첨단나노융합제품 상용화 촉진,계속사업,Y,N,Y,Y,N,N,N,한국산업기술기획평가원 등,,"124,517,000천원",국가표준혁신및,나노인프라공정서비스역량고도화(R&D),"1,500,000천원",국가표준혁신및,"98,451,000천원",규제특례신산업창출(R&D),"4,800,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"직접수행, 민간보조, 출연",산업통상자원부,대규모(1000억원 이상),R&D/연구개발,전국단위,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,Yes,국가표준혁신및국제협력,98.451,98451,불일치,1164.76,176,124517000,234.0,B급_간접관련
,소재부품장비 자립화를 위한 기술개발 지원,계속사업,N,N,N,Y,N,N,N,한국산업기술기획평가원 등,,"2,430,994,000천원",기타재산이자수입,소재부품기술개발(R&D),"1,290,947,000천원",기계장비산업기술개발(R&D),"219,989,000천원",소재부품장비기,"241,849,000천원",전자부품산업기술개발(R&D),"113,772,000천원",공간컴퓨팅구현을위한첨단XR디바이스부품통합형기술개발(,"7,000,000천원",무기발광 디스플레이 기술개발 및 생태계 구축사업(R&D),"50,000,000천원",초고해상도 AMOLED 기반 초실감 라이트필드 디스플레이,"6,210,000천원",차세대 모빌리티용 극한환경 적용 OLED 기술개발(R&D),"4,000,000천원",2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,2430994000,234.0,B급_간접관련
,소재부품장비 자립화를 위한 기술개발 지원,계속사업,N,N,N,Y,N,N,N,한국산업기술기획평가원 등,,"241,849,000천원",소재부품장비기,소재부품기술개발(R&D),"1,290,947,000천원",기계장비산업기술개발(R&D),"219,989,000천원",소재부품장비기,"241,849,000천원",전자부품산업기술개발(R&D),"113,772,000천원",공간컴퓨팅구현을위한첨단XR디바이스부품통합형기술개발(,"7,000,000천원",무기발광 디스플레이 기술개발 및 생태계 구축사업(R&D),"50,000,000천원",초고해상도 AMOLED 기반 초실감 라이트필드 디스플레이,"6,210,000천원",차세대 모빌리티용 극한환경 적용 OLED 기술개발(R&D),"4,000,000천원",2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,Yes,소재부품장비기술개발,1702.648,1702648,검토필요,42.04,102,241849000,234.0,B급_간접관련
,소부장 산업의 혁신역량 제고를 위해 연구장비 등을 구축하는 사 업,계속사업,Y,N,N,Y,N,N,N,한국산업기술기획평가원 등,,"1,950,904,000천원",소재부품장비생,소재부품산업기술개발기반구축(R&D),"196,457,000천원",한국산업기술진흥원 기획평가관리비(소특)(R&D),"4,748,000천원",한국산업기술기획평가원 기획평가관리비(소특)(R&D),"40,644,000천원",소재부품장비생,"6,407,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"직접수행, 출연",산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,1950904000,234.0,B급_간접관련
,물재이용 사업지원 및 기술개발 등,계속사업,Y,Y,Y,Y,N,N,Y,"국가, 지자체, 민간, 한국환경산업기술원 등 6. 지방비매칭  664억원",664억원,"1,286,120,000천원",하수처리수재이용사업,하수처리수재이용사업,"34,226,000천원",폐기물 발생원,"2,770,000천원",유체성능시험센터 설치,"1,709,000천원",물산업클러스터 운영,"29,468,000천원",한국물기술인증원 운영,"6,890,000천원",물산업 진흥 및 물기업 육성,"6,405,000천원",정지궤도 공공복합 통신위성개발(R&D),"9,279,000천원",디지털 담수화 플랜트 농축수 자원화 기술 개발사업(R&D),"7,800,000천원",2. 2026년도 세입세출예산안사업별 설명서 5권.txt,직접수행,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,지역특화,관민협력(3자),매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,1286120000,234.0,B급_간접관련
,국립암센터 운영비 및 연구개발비 지원,계속사업,Y,Y,Y,Y,N,N,Y,"국가, 민간",13억원,"1,434,762,000천원",국가암빅데이터구축(정보화),암연구소 및 국가암관리사업본부 운영(R&D),"67,882,000천원",국립암센터운영지원(R&D),"27,446,000천원",국가암빅데이터구축(정보화),"969,000천원",국립암센터 부속병원 운영 지원,"7,387,000천원",첨단 ICT기반의 암전문 정보시스템 구축(정보화),"1,405,000천원",,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"직접수행, 지자체보조, 민간보조, 지방비매칭",국가기관,대규모(1000억원 이상),R&D/연구개발,전국단위,관민협력(2자),부분매칭,,No,,0.0,0,,0.0,0,1434762000,231.00000000000003,B급_간접관련
,해양수산 신산업 육성을 위해 핵심기술 개발 및 체계 구축 지원,계속사업,N,N,N,Y,N,N,N,해양수산과학기술진흥원,,"120,854,000천원",해양수산환경 기,해양레저장비 및 안전기술 개발(R&D),"6,130,000천원",해양수산환경 기,"41,708,000천원",머신러닝 기반 해저면 특성 분류 기술개발(R&D),"3,170,000천원",해양 기후변화 진단 및 장기전망 연구(R&D),"4,922,000천원",해양치유자원 효능 검증 및 활용 기술개발(R&D),"1,080,000천원",해저활성단층 특성 규명 연구(R&D),"4,400,000천원",갯벌 공간정보 변화 모니터링 기술개발(R&D),"2,794,000천원",스마트선박용 수로정보 표준개발(R&D),"2,400,000천원",2. 2026년도 세입세출예산안사업별 설명서 3권.txt,출연,해양수산부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[27]2026년도 성과계획서_해양수산부.pdf,No,,0.0,0,,0.0,0,120854000,221.0,B급_간접관련
,도로분야연구개발(RD),계속사업,N,N,N,Y,N,N,N,국토교통과학기술진흥원,,"6,538,882,000천원",기후대응기금 전출,AI데이터중심의화물차운송안전향상기술개발(R&D),"1,602,000천원",교통사고유발도로노면위험요소저감기술개발(R&D),"5,199,000천원",초장대K지하고속도로인프라안전및효율향상기술개발(R&D),"6,495,000천원",내연기관차전기차전환안전성검증기술개발및튜닝승인실증(,"8,900,000천원",과적단속효율화를위한화물차중량정보플랫폼구축및실증기,"4,000,000천원",디지털도로기반클라우드형AI-ITS센터플랫폼운영관리기술개,"1,275,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,출연,국토교통부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[26]2026년도 성과계획서_국토교통부.pdf,No,,0.0,0,,0.0,0,6538882000,221.0,B급_간접관련
,지역 SW산업기능지원,계속사업,N,N,N,Y,N,N,N,정보통신산업진흥원 등,,"661,979,000천원",인공지능 신뢰성 혁신 실증사업,인공지능 신뢰성 혁신 실증사업,"1,000,000천원",연구개발특구육,"182,099,000천원",해양문화도시 기반의 에이지테크 실증거점 조성,"3,000,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,기타,대규모(1000억원 이상),R&D/연구개발,지역특화,공공주도,매칭어려움,,No,,0.0,0,,0.0,0,661979000,220.0,B급_간접관련
,민간공공 영역에 초거대 AI 기반 산업혁신 생태계 조성,계속사업,Y,N,N,Y,N,N,N,"국가, 정보통신산업진흥원, 한국벤처투자 등",,"257,419,000천원",국가인공지능위원회 운영지원,AI일상화확산,"8,296,000천원",국가인공지능위원회 운영지원,"5,978,000천원",AI반도체경쟁력,"257,419,000천원",World Best LLM 데이터 활용 지원,"30,000,000천원",AI컴퓨팅 자원 활용 기반 강화,"2,108,725,000천원",AI혁신펀드,"100,000,000천원",공공AX프로젝트,"100,000,000천원",AGI 준비 프로젝트,"20,000,000천원",2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,중소벤처기업부,대규모(1000억원 이상),R&D/연구개발,전국단위,관민협력(2자),매칭가능,[28]2026년도 성과계획서_중소벤처기업부.pdf,No,,0.0,0,,0.0,0,257419000,216.0,B급_간접관련
,고속도로 휴게소 내 수소충전소 구축,계속사업,Y,N,N,N,N,N,N,한국도로공사,,"1,619,960,000천원",수소충전소 구축,수소충전소 구축,"4,500,000천원",일반국도조사설,"36,019,000천원",관(부문),202천원,6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),160천원,0 국도건설,"1,619,960,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,직접수행,국토교통부,대규모(1000억원 이상),인프라/건설,일반,공공주도,매칭가능,[26]2026년도 성과계획서_국토교통부.pdf,No,,0.0,0,,0.0,0,1619960000,208.0,B급_간접관련
,"AI학습역량 및 신뢰성, 활용성 문제해소를 위한 핵심원천기술 확보",2019년-2026년,Y,N,N,Y,N,N,N,정보통신기획평가원,,"2,404,899,000천원",디지털 공공 혁신생태계 조성,사람중심인공지능핵심원천기술개발(R&D),"42,860,000천원",초거대산업AI연구지원(R&D),"4,500,000천원",AI경쟁력강화(일,"2,404,899,000천원",인공지능첨단유망기술개발(R&D),"6,000,000천원",디지털 공공 혁신생태계 조성,"4,500,000천원",디지털 혁신 기술 기반 K-CareNetwork,"5,600,000천원",차세대생성AI기술개발(R&D),"4,000,000천원",국방인공지능핵심기술개발(R&D),"2,926,000천원",2. 2026년도 세입세출예산안사업별 설명서 2권.txt,"직접수행, 출연",과학기술정보통신부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[12]2026년도 성과계획서_과학기술정보통신부.pdf,No,,0.0,0,,0.0,0,2404899000,195.0,B급_간접관련
,첨단항만 및 해운물류 기술개발,계속사업,N,N,N,Y,N,N,N,한국해양과학기술진흥원,,"1,745,896,000천원",해양안전기술개,수출입물류항만-내륙연계기술개발(R&D),"3,340,000천원",LNG벙커링동시작업기술개발(R&D),"1,220,000천원",해양안전기술개,"52,862,000천원",화물차 중량정보 플랫폼 구축 및 육상-항만 연계 실증사,"400,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,출연,해양수산부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[27]2026년도 성과계획서_해양수산부.pdf,No,,0.0,0,,0.0,0,1745896000,195.0,B급_간접관련
,철도산업을 고부가가치 산업으로 육성연구,계속사업,N,N,N,Y,N,N,N,국토교통과학기술진흥원,,"4,811,093,000천원",지역균형발전특별회계(지역지원계정) 전출,철도차량및용품형식승인기술기준고도화개발(R&D),"6,679,000천원",초고속하이퍼튜브철도인프라핵심기술개발(R&D),"4,850,000천원",국토교통과학기술진흥원기획평가관리비(교특)(R&D),"6,971,000천원",고속철도자갈궤도구간사전제작형급속개량콘크리트궤도및,"2,000,000천원",내구연한도래노후디젤기관차대체를위한친환경수소전기기,"11,603,000천원",대심도장대터널(GTX등)의재난대응복합훈련장개발(R&D),"8,318,000천원",스마트철도물류혁신기술개발(R&D),"2,000,000천원",,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,출연,국토교통부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[26]2026년도 성과계획서_국토교통부.pdf,No,,0.0,0,,0.0,0,4811093000,195.0,B급_간접관련
,"의료기기, 신약, 의료데이터 등 바이오분야 기술개발 지원",계속사업,N,N,N,Y,N,N,N,한국산업기술기획평가원 등,,"64,109,000천원",의료데이터합성기술및의료인공지능기술기반디지털의료제,바이오산업기술개발(R&D),"139,770,000천원",병원-기업 협력 공동사업화기반 수요연계형 기술개발(R&D,"1,190,000천원",5G기반 이동형 유연의료 플랫폼 기술개발사업(R&D),"2,970,000천원",의료데이터합성기술및의료인공지능기술기반디지털의료제,"3,750,000천원",로봇산업진흥,"64,109,000천원",범부처첨단의료기기연구개발사업(R&D),"19,980,000천원",AI기반표적맞춤형의약품제조자율랩기술개발사업(R&D),"8,800,000천원",국가신약개발사업(R&D),"51,586,000천원",2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,64109000,187.20000000000002,B급_간접관련
,미래핵심기술의 발굴 및 기획,계속사업,Y,N,N,Y,N,N,N,"국가, 국토교통과학기술진흥원",,"59,997,000천원",리튬기반배터리제조소및저장취급시설안전을위한기술개발(,국토교통연구기획(R&D),"3,400,000천원",국토교통연구개발운영지원사업(R&D),"8,596,000천원",국토교통과학기술진흥원기획평가관리비(일반)(R&D),"13,636,000천원",건설기술혁신(R,"59,997,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,출연,국토교통부,대규모(1000억원 이상),R&D/연구개발,전국단위,공공주도,매칭가능,[26]2026년도 성과계획서_국토교통부.pdf,No,,0.0,0,,0.0,0,59997000,187.20000000000002,B급_간접관련
,SOC시설물의 안전성 및 기술력 제고사업,계속사업,N,N,N,Y,N,N,N,국토교통과학기술진흥원 등,,"66,033,000천원",리튬기반배터리제조소및저장취급시설안전을위한기술개발(,기반시설첨단관리(Totalcare)기술개발(R&D),"6,040,000천원",TBM굴진향상을위한연속굴착기술개발(R&D),"7,872,000천원",신소재기반부유식구조체기술개발(R&D),"7,385,000천원",그린해상교량기술개발(R&D),"5,900,000천원",공동구활성화를위한스마트운영및성능개선기술개발(R&D),"7,100,000천원",플랜트연구,"53,665,000천원",고위험건설기계안전성평가및관리기술개발(R&D),"2,865,000천원",건설현장다목적고소작업을위한로봇플랫폼및XR기반인간-로,"3,700,000천원",2. 2026년도 세입세출예산안사업별 설명서 5권.txt,출연,국토교통부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[26]2026년도 성과계획서_국토교통부.pdf,No,,0.0,0,,0.0,0,66033000,187.20000000000002,B급_간접관련
,환경기술 개발을 위한 연구개발 등,계속사업,Y,N,N,Y,N,N,N,"국가, 한국환경산업기술원 등",,"251,720,000천원",환경정책연구개발사업,환경정책연구개발사업,"939,000천원",한국환경산업기술원 기획평가관리사업(R&D),"9,331,000천원",환경일자리 창출,"44,616,000천원",폐타이어 활용 고품질 원료 확보 및 제품화 기술개발사업(,"8,000,000천원",폐의류 문제해결 플래그십 재활용 기술개발사업(R&D),"3,500,000천원",수소자동차 핵심부품 재활용 기술개발사업(R&D),"6,300,000천원",유기성 폐자원활용 고품질 바이오연료화 기술개발사업(R&,"8,000,000천원",국가환경산업기술정보시스템구축운영(정보화),"4,543,000천원",2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 출연",산업통상자원부,대규모(1000억원 이상),R&D/연구개발,전국단위,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,251720000,182.0,B급_간접관련
,수산창업을 자문하는 지역별 거점센터 보조,계속사업,Y,Y,N,N,N,N,Y,"국가, 지자체",53억원,"146,360,000천원",수산산업창업투자지원,수산산업창업투자지원,"6,338,000천원",국제협력협상,"3,819,000천원",3500 원양협력,"3,819,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,직접수행,국가기관,대규모(1000억원 이상),지원/보조,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,146360000,176.0,B급_간접관련
,AI 응용제품 상용화를 위한 기술개발,계속사업,N,N,N,Y,N,N,N,"민간, 한국환경산업기술원 등",,"11,158,000천원",환경교육 및 홍,AI응용제품 신속 상용화 지원사업(환경),"50,000,000천원",환경교육 및 홍,"7,498,000천원",,,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,민간주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,11158000,171.6,B급_간접관련
,지역특화산업기반 AI기술 도입 실증지원,계속사업,N,N,N,Y,N,N,N,정보통신산업진흥원,,"661,979,000천원",광역경제권산업,K-Health 국민의료 AI서비스 및 산업생태계 구축,"3,600,000천원",광역경제권산업,"4,000,000천원",AI 기반 뇌발달질환 디지털의료기기 실증지원,"5,000,000천원",AI융합 지능형 농업 생태계 구축,"4,207,000천원",제조업 AI융합 기반 조성,"9,875,000천원",초거대AI 클라우드팜 실증 및 AI 확산 환경조성,"3,600,000천원",AX실증밸리조성(R&D),"16,967,000천원",,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,기타,대규모(1000억원 이상),R&D/연구개발,지역특화,공공주도,매칭어려움,,No,,0.0,0,,0.0,0,661979000,170.0,B급_간접관련
,나노소재 핵심기술의 선도적 발굴 및 나노융합기술 RBD 사업 추진,계속사업,N,N,N,Y,N,N,N,한국연구재단 등,,"179,023,000천원",세포기반 인공혈액(적혈구 및 혈소판) 제조 및 실증 플랫,국가신약개발사업(R&D),"51,586,000천원",범부처 재생의료기술개발사업(R&D),"25,340,000천원",다부처 국가생명연구자원 선진화 사업(R&D),"48,774,000천원",치매극복연구개발사업(R&D),"9,742,000천원",한의 디지털 융합 기술개발사업(R&D),"900,000천원",국가 통합 바이오 빅데이터 구축(R&D),"42,123,000천원",세포기반 인공혈액(적혈구 및 혈소판) 제조 및 실증 플랫,"1,906,000천원",,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,과학기술정보통신부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[12]2026년도 성과계획서_과학기술정보통신부.pdf,No,,0.0,0,,0.0,0,179023000,169.0,B급_간접관련
,해양수산 신산업 육성을 위해 핵심기술 개발 및 체계 구축 지원,계속사업,N,Y,N,Y,N,N,Y,해양수산과학기술진흥원,45억원,"309,084,000천원",해양 및 수자원,해양배터리 특화 데이터 허브 플랫폼 구축 기술 개발(R&D,"2,000,000천원",해양수산환경 기 -,"200,000천원",관(부문),202천원,6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),1천원,) 4100 해양수산연구개발 -,"200,000천원",000 술개발(R&D) 이관사업 지역지원계정 세 출 합 계,"309,084,000천원",000 -,471천원,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",해양수산부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[27]2026년도 성과계획서_해양수산부.pdf,No,,0.0,0,,0.0,0,309084000,169.0,B급_간접관련
,정보보호 산업체 공동활용 제품연구 및 개발환경 구축 등,계속사업,Y,N,N,Y,N,N,N,국가,,"2,849,217,000천원",정보보호산업경쟁력강화(정보화),정보보호산업경쟁력강화(정보화),"9,188,000천원",전파연구지원,"777,000천원",2500 전파활용방송서비스,"777,000천원",000 산업,1천원,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,직접수행,국가기관,대규모(1000억원 이상),R&D/연구개발,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,2849217000,165.0,B급_간접관련
,"우주전파재난에 취약한 산업 인프라 보호하고 우주환경 예,경보 역량 향상 및 대응체계 강화",계속사업,Y,N,N,Y,N,N,N,"국가, 민간",,"1,069,423,000천원",우주환경 감시체계 운영(정보화),우주전파재난 위험분석 및 대응기술 개발(R&D),"2,583,000천원",정보사업비,"251,000천원",우주환경 감시체계 운영(정보화),"2,403,000천원",태양관측위성 수신국 구축,"8,820,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,"직접수행, 출연",국가기관,대규모(1000억원 이상),인프라/건설,전국단위,관민협력(2자),부분매칭,,No,,0.0,0,,0.0,0,1069423000,165.0,B급_간접관련
,수산물품질관리원 정보화 사업 지원,계속사업,Y,Y,Y,N,N,N,Y,국가,7억원,"139,487,000천원",국립수산물품질관리원정보화(정보화),국립수산물품질관리원정보화(정보화),"1,222,000천원",어업안전지도강,"139,227,000천원",3100 수산자원 관리 및 조,"139,487,000천원",000 성,1천원,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 지자체보조, 민간보조, 지방비매칭",국가기관,대규모(1000억원 이상),지원/보조,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,139487000,165.0,B급_간접관련
,탄소산업 진흥정책 추진을 위한 전담기관 예산 지원,계속사업,Y,Y,Y,Y,N,N,Y,한국탄소산업진흥원,26.87억원,"296,723,000천원",바이오산업육성,한국탄소산업진흥원 운영(R&D),"28,605,000천원",K-Carbon플래그십기술개발사업(R&D),"15,636,000천원",바이오산업육성,"55,345,000천원",첨단신산업창출형고성능피치계탄소소재개발사업(R&D),"3,075,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"직접수행, 지자체보조, 민간보조, 출연, 지방비매칭",기타,대규모(1000억원 이상),지원/보조,일반,공공주도,매칭어려움,,No,,0.0,0,,0.0,0,296723000,160.0,B급_간접관련
,도로분야에서 AI 기술을 활용한 AI응용제품의 상용화를 지원하는 사업,계속사업,Y,N,Y,N,N,N,N,민간,,"461,290,000천원",국도시설개량,디지털도로 AI 신기술 지원사업,"42,000,000천원",국도시설개량,"26,801,000천원",,,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,직접수행,민간,대규모(1000억원 이상),인프라/건설,일반,민간주도,매칭어려움,,No,,0.0,0,,0.0,0,461290000,160.0,B급_간접관련
