분야,사업내용,사업기간,직접수행,지자체보조,민간보조,출연,위탁,융자,지방비매칭,시행주체,지방비매칭여부,사업비,단위사업명,경비내역1,경비내역1사업비,경비내역2,경비내역2사업비,경비내역3,경비내역3사업비,경비내역4,경비내역4사업비,경비내역5,경비내역5사업비,경비내역6,경비내역6사업비,경비내역7,경비내역7사업비,경비내역8,경비내역8사업비,출처파일,매칭패턴,주요부처,사업비규모,사업유형,지역관련성,민간참여도,성과계획서매칭,해당_성과계획서_파일,PDF_매칭여부,PDF_사업명,PDF_예산_억원,PDF_예산_백만원,예산_검증상태,예산_오차율,PDF_출처페이지,예산_숫자,경북관련도점수,경북관련성_최종
,폐기물 처리시설 설치 지원 등,계속사업,Y,Y,N,Y,N,N,Y,"국가, 지자체 6. 지방비매칭  3,064억원",064억원,"1,001,344,000천원",유해폐기물처리및대집행,유해폐기물처리및대집행,"10,454,000천원",위해우려 폐기물 관리,"3,894,000천원",바젤협약분담금,"234,000천원",폐기물처리시설 확충,"202,949,000천원",자원순환정책 기,"34,284,000천원",,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 출연",국가기관,대규모(1000억원 이상),인프라/건설,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,1001344000,66.0,C급_정책참고
,생태축 복원 관련 연구 등 국가보호지역 관리를 위한 지원,계속사업,Y,Y,Y,N,N,N,Y,"국가, 지자체",48억원,"1,319,146,000천원",국토생태네트워크구축(지원),국토생태네트워크구축(지원),"4,885,000천원",습지보전관리(지원),"15,106,000천원",자연자원의 이용,"11,650,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 지자체보조, 민간보조, 지방비매칭",국가기관,대규모(1000억원 이상),R&D/연구개발,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,1319146000,66.0,C급_정책참고
,"국토지형관리를 위한 공간정보 데이터 구축, 관리, 서비스 및 활용 지원 등",계속사업,Y,Y,Y,Y,N,N,N,"국가, 한국항공우주연구원 등",0억원,"17,037,000천원",국가기본도제작,국가기본도제작,"89,719,000천원",도시경관및건축,"5,145,000천원",국가기준점관리,"11,958,000천원",국토조사및지명,"3,352,000천원",국토위성센터및국토관측위성운영,"6,479,000천원",국토지형관리(정보화),"20,037,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 지자체보조, 민간보조",국가기관,대규모(1000억원 이상),인프라/건설,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,17037000,66.0,B급_간접관련
,"경관쉼터, 졸음쉼터 조성으로 지역 관광 활성화 및 교통사고 위험 예방",계속사업,Y,N,Y,N,N,N,N,국가,,"461,290,000천원",편의시설조성,편의시설조성,"25,144,000천원",민자유치사업지,"461,290,000천원",도로인프라국가성능시험장운영,"1,657,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 민간보조",국가기관,대규모(1000억원 이상),인프라/건설,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,461290000,66.0,C급_정책참고
,건물부문 온실가스 감축 관리시스템,계속사업,Y,N,N,N,N,N,N,국가,,"162,478,000천원",국가 건물에너지 통합관리시스템(정보화),국가 건물에너지 통합관리시스템(정보화),"1,805,000천원",녹색건축물보급,"2,503,000천원",장(분야),140천원,국토및지역개발,"2,503,000천원",000 관(부문),142천원,지역및도시,"2,503,000천원",000 6100 건축정책,"2,503,000천원",,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,직접수행,국가기관,대규모(1000억원 이상),운영/관리,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,162478000,66.0,B급_간접관련
,핵심기반시설 구축 및 새만금 투자유치 지원 등 새만금 개발 사업 지원,계속사업,Y,Y,Y,Y,N,N,Y,"국가, 지자체, 민간, 전북특별자치도 등 6. 지방비매칭  160억원",160억원,"201,237,000천원",관유물대여료,새만금 상수도시설 건설사업,"3,400,000천원",인건비,"12,730,000천원",새만금 종합사업관리 기술지원,"1,496,000천원",새만금 지역간 연결도로 건설,"162,979,000천원",국립 새만금 간척박물관 운영,"5,410,000천원",새만금산단 기업성장센터 건립,"200,000천원",새만금 입주기업 지원,"520,000천원",새만금 이차전지 특화단지 전력인프라 구축,"4,404,000천원",2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 지자체보조, 민간보조, 출연, 지방비매칭",국가기관,대규모(1000억원 이상),R&D/연구개발,지역특화,관민협력(3자),부분매칭,,No,,0.0,0,,0.0,0,201237000,66.0,C급_정책참고
,"출연연, 대학등의 연구성과 통합시스템구축",계속사업,N,N,N,Y,N,N,N,한국산업기술진흥협회,,"172,371,000천원",연구성과기술사,연구산업육성(R&D),"13,451,000천원",연구성과확산지,"10,130,000천원",과학치안공공연구성과실용화촉진시범사업(R&D),"1,260,000천원",학연 협력 플랫폼 구축 시범사업(R&D),"10,000,000천원",국산 연구장비 기술경쟁력 강화(R&D),"9,570,000천원",협력융합 과학기술사업화 촉진지원(R&D),"7,916,000천원",치안신산업 핵심기술 사업화 지원(R&D),"820,000천원",,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,172371000,65.0,C급_정책참고
,"출연연, 대학등의 연구성과 통합시스템구축",계속사업,Y,N,N,Y,N,N,N,한국산업기술진흥협회,,"105,604,000천원",연구성과확산지,연구산업육성(R&D),"13,451,000천원",연구성과확산지,"10,130,000천원",과학치안공공연구성과실용화촉진시범사업(R&D),"1,260,000천원",학연 협력 플랫폼 구축 시범사업(R&D),"10,000,000천원",국산 연구장비 기술경쟁력 강화(R&D),"9,570,000천원",협력융합 과학기술사업화 촉진지원(R&D),"7,916,000천원",치안신산업 핵심기술 사업화 지원(R&D),"820,000천원",,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,"직접수행, 출연",산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,105604000,65.0,C급_정책참고
,"3D프린팅 활용확산지원, 전문역량 강화 및 산업생태계 조성 사 업",계속사업,N,N,N,Y,N,N,N,정보통신기획평가원,,"463,482,000천원",직할출연연구기,3D프린팅 산업육성 기반 구축,"4,551,000천원",직할출연연구기,"38,361,000천원",장(분야),150천원,과학기술,"463,482,000천원",000 관(부문),152천원,과학기술연구지원,"119,559,000천원",000 2200 출연연구기관지원,"119,559,000천원",,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,과학기술정보통신부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[12]2026년도 성과계획서_과학기술정보통신부.pdf,No,,0.0,0,,0.0,0,463482000,65.0,C급_정책참고
,정보통신 융합 신기술의 보급 및 확산을 위해 실증단지 조성을 통 한 국가균형발전에 기여하는 사업,계속사업,Y,N,N,Y,N,N,N,"국가, 정보통신기획평가원",,"130,178,000천원",스마트화산업기,60Ghz 이하 대역,5천원,스마트화산업기,"6,520,000천원",G 전파 응용 서비스 활용 기반 조성(R,"530,000천원",&D) 관(부문),133천원,정보통신,"130,178,000천원",000 2000 인터넷융합산업,"6,520,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,과학기술정보통신부,대규모(1000억원 이상),R&D/연구개발,지역특화,공공주도,매칭가능,[12]2026년도 성과계획서_과학기술정보통신부.pdf,Yes,스마트화산업기반확충(일반),111.956,111956,불일치,1062.76,339,130178000,65.0,C급_정책참고
